IDX,PeriodStart,PeriodEnd,Type,HeadquarteredCountries,AnnualRevenue,ReportingEntities,IncludedEntities,ABN,ACN,ARBN,Link,IndustrySectors,RelatedStatements
2024-936,2023-01-01,2023-12-31,Single,Australia,150-200M,TRANSALTA ENERGY (AUSTRALIA) PTY LTD (40 062 135 844),"GOLDFIELDS POWER PTY LTD (81 062 186 243), TEC DESERT NO.2 PTY LTD (13 084 953 088), TEC DESERT PTY LTD (47 084 695 661), TEC HEDLAND PTY LTD (81 169 777 404), TECH INTERMEDIARY PTY LTD (13 641 262 697), TEC KALGOORLIE PTY LTD (87 062 186 270), TEC OPERATIONS PTY LTD (46 062 135 871), TEC OUTBACK PTY LTD (55 084 338 465), TEC PILBARA PTY LTD (97 166 678 842), TEC PIPE PTY LTD (39 090 067 011)","81062186243, 13084953088, 47084695661, 81169777404, 13641262697, 87062186270, 46062135871, 55084338465, 97166678842, 39090067011, 40062135844",,,https://modernslaveryregister.gov.au/statements/18138/,"Utilities: gas, water and electricity","2023-1153, 2022-860, 2021-2221"
2024-929,2023-01-01,2023-12-31,Single,Australia,100-150M,TOYO TYRE AUSTRALIA PTY LTD (93 000 767 279),,93000767279,,,https://modernslaveryregister.gov.au/statements/18133/,"Automotive, machinery and heavy electrical equipment",2021-1566
2024-930,2023-01-01,2023-12-31,Single,Australia,250-300M,MCC ADELAIDE PTY LTD (68 007 514 856),"HALLY LABELS PTY LIMITED (72 002 981 240), MCC GRIFFITH PTY LTD (67 115 294 267), MCC MELBOURNE PTY LTD (27 005 280 697), MCC PERTH PTY LTD (30 009 412 462), MULTI-COLOR (QLD) PTY LTD (41 003 411 194)","72002981240, 68007514856, 67115294267, 27005280697, 30009412462, 41003411194",,,https://modernslaveryregister.gov.au/statements/18132/,Other,"2023-487, 2022-1821, 2021-2720"
2024-935,2023-01-01,2023-12-31,Single,Australia,1BN+,AIG AUSTRALIA LIMITED (93 004 727 753),,93004727753,,,https://modernslaveryregister.gov.au/statements/18130/,"Financial, insurance and real estate activities","2025-740, 2023-292, 2022-520, 2021-2524"
2024-969,2023-02-01,2024-01-31,Single,United States of America,1BN+,DELL AUSTRALIA PTY LIMITED,,,003855561,,https://modernslaveryregister.gov.au/statements/18128/,Information technology and telecommunication,
2024-928,2023-01-01,2023-12-31,Single,"Australia, France",1BN+,THALES AUSTRALIA LIMITED (66 008 642 751),,66008642751,,,https://modernslaveryregister.gov.au/statements/18127/,Defence and aerospace,"2023-852, 2022-1213, 2021-2135"
2024-931,2023-01-01,2023-12-31,Single,Australia,200-250M,JET AVIATION AUSTRALIA PTY LTD (94 001 540 316),JET AVIATION AUSTRALIA (QLD) PTY LTD (60 670 086 316),"94001540316, 60670086316",,,https://modernslaveryregister.gov.au/statements/18119/,Defence and aerospace,"2023-1593, 2022-1662, 2021-2541"
2024-922,2023-01-01,2023-12-31,Single,Australia,100-150M,BMS HEAVY CRANES AUSTRALIA PTY LTD (13 623 691 378),,13623691378,,,https://modernslaveryregister.gov.au/statements/18118/,"Construction, civil engineering and building products",
2024-923,2023-01-01,2023-12-31,Joint,Australia,900M-1BN,"HONEYWELL HOLDINGS PTY LTD (18 000 383 764), HONEYWELL LTD (74 000 646 882)",,"18000383764, 74000646882",,,https://modernslaveryregister.gov.au/statements/18117/,"Construction, civil engineering and building products
Defence and aerospace
Other","2023-1202, 2022-1235, 2021-1811"
2024-920,2023-01-01,2023-12-31,Single,Japan,700-800M,KUBOTA AUSTRALIA PTY LTD (72 005 300 621),,72005300621,,,https://modernslaveryregister.gov.au/statements/18115/,"Automotive, machinery and heavy electrical equipment
Financial, insurance and real estate activities","2025-800, 2023-1126, 2022-68, 2021-1697"
2024-1007,2023-01-01,2023-12-31,Single,"Australia, United States of America",200-250M,CARRIER INVESTMENTS AUSTRALIA PTY LTD,"AUTOMATED LOGIC AUSTRALIA PTY LIMITED, CARRIER AIR CONDITIONING PTY LTD, CARRIER AUSTRALIA COMMERCIAL HOLDINGS PTY LTD, CARRIER AUSTRALIA PTY LTD, CARRIER FIRE & SECURITY AUSTRALIA PTY LTD, CARRIER FIRE & SECURITY INFRASTRUCTURE (AUSTRALIA) PTY LTD, CARRIER HOLDINGS AUSTRALIA PTY LTD, UHS Pty Ltd, UHS SYSTEMS PTY LTD",,"102691332, 000024742, 003590921, 136426214, 086771404, 096412734, 006531933, 117282149, 111754388, 094972684",,https://modernslaveryregister.gov.au/statements/18112/,"Durable consumer goods, including electronics and appliances, home furnishings and other accessories
Transportation, logistics, and storage
Information technology and telecommunication
Cleaning and security services","2025-692, 2023-814"
2024-918,2023-01-01,2023-12-31,Single,Germany,100-150M,SEW-EURODRIVE PTY. LTD. (27 006 076 053),,27006076053,,,https://modernslaveryregister.gov.au/statements/18111/,"Automotive, machinery and heavy electrical equipment",2023-1114
2024-925,2023-01-01,2023-12-31,Single,Australia,1BN+,Queensland University of Technology (83 791 742 622),"QUT ADVISORY PTY LTD (82 099 110 924), THE TRUSTEE FOR QUT BLUEBOX TRUST (97 041 405 905), The trustee for QUT Enterprise Holdings Trust (28 928 640 473), The Trustee for QUT Student Managed Investment Fund (92 718 723 234)","83791742622, 82099110924, 97041405905, 28928640473, 92718723234",,,https://modernslaveryregister.gov.au/statements/18110/,Education and research,2021-2215
2024-919,2023-01-01,2023-12-31,Joint,Australia,150-200M,"CEGELEC OIL & GAS AUSTRALIA PTY LTD (82 616 228 758), ELECTRIX PTY. LTD. (44 067 232 393), J & P RICHARDSON INDUSTRIES PTY LTD (23 001 952 325), OVERHEAD DISTRIBUTION SERVICES PTY LTD (69 650 519 181), TECHTEST SERVICES PTY LTD (22 139 837 924), VINCI ENERGIES AUSTRALIA PTY LTD (86 602 042 339)",,"82616228758, 44067232393, 23001952325, 69650519181, 22139837924, 86602042339",,,https://modernslaveryregister.gov.au/statements/18109/,"Utilities: gas, water and electricity
Construction, civil engineering and building products","2023-699, 2022-884"
2024-1009,2023-01-01,2023-12-31,Single,Australia,1BN+,MLC LIMITED (90 000 000 402),,90000000402,,,https://modernslaveryregister.gov.au/statements/18108/,"Financial, insurance and real estate activities","2023-600, 2022-850, 2021-1672"
2024-921,2023-01-01,2023-12-31,Single,United States of America,1BN+,Peabody Australia Holdco Pty Ltd,"METROPOLITAN COLLIERIES PTY. LTD., PEABODY AUSTRALIA MINING PTY LTD, PEABODY COALSALES PACIFIC PTY LTD, PEABODY COPPABELLA PTY LTD, PEABODY ENERGY AUSTRALIA PCI PTY LTD, PEABODY ENERGY AUSTRALIA PTY LTD, WAMBO COAL PTY LIMITED, Wilpinjong Coal Pty Ltd",,"003135635, 154820130, 002818699, 146797408, 095976042, 096001955, 096909410, 000668057, 104594694",,https://modernslaveryregister.gov.au/statements/18107/,"Mining, metals, chemicals and resources (including oil and gas)",2023-878
2024-985,2023-01-01,2023-12-31,Single,Australia,100-150M,NF DIGITAL LAND PTY LTD (36 643 491 052),"ANIMAL LOGIC PTY LIMITED (65 006 440 777), ANIMAL LOGIC STUDIOS HOLDINGS PTY LIMITED (72 612 133 267), OPTIX PTY. LIMITED (86 060 227 232)","65006440777, 72612133267, 36643491052, 86060227232",,,https://modernslaveryregister.gov.au/statements/18106/,"Media, publishing, arts and entertainment",
2024-986,2023-01-01,2023-12-31,Single,Australia,1BN+,NETFLIX AUSTRALIA PTY LTD (81 601 296 771),,81601296771,,,https://modernslaveryregister.gov.au/statements/18105/,"Media, publishing, arts and entertainment",2023-1092
2024-914,2023-01-01,2023-12-31,Single,Australia,250-300M,METRO MINING LIMITED (45 117 763 443),METRO BAUXITE HILLS OPERATIONS PTY LTD (25 101 655 298),"25101655298, 45117763443",,,https://modernslaveryregister.gov.au/statements/18103/,"Mining, metals, chemicals and resources (including oil and gas)",2023-1076
2024-912,2023-01-01,2023-12-31,Joint,Australia,0-99M,"AKUNA CAPITAL AUSTRALIA PTY LTD (71 622 473 750), AKUNA DIGITAL AUSTRALIA PTY LTD (59 622 349 393)",,"71622473750, 59622349393",,,https://modernslaveryregister.gov.au/statements/18100/,"Financial, insurance and real estate activities",2023-599
2024-909,2023-01-01,2023-12-31,Single,Japan,800-900M,MARUBENI RESOURCES DEVELOPMENT PTY LTD (57 009 932 236),,57009932236,,,https://modernslaveryregister.gov.au/statements/18099/,"Mining, metals, chemicals and resources (including oil and gas)","2023-978, 2022-765, 2021-612"
2024-1112,2023-01-01,2023-12-31,Joint,"Australia, Hong Kong",1BN+,"HSBC Australia Holdings Pty Limited (22 006 513 873), HSBC BANK AUSTRALIA LIMITED (48 006 434 162), The Hongkong and Shanghai Banking Corporation Limited (65 117 925 970)",,"22006513873, 48006434162, 65117925970",,,https://modernslaveryregister.gov.au/statements/18214/,"Financial, insurance and real estate activities","2023-1007, 2022-878, 2021-1814"
2024-980,2023-01-01,2023-12-31,Single,Australia,150-200M,ELANCO AUSTRALIA HOLDING PTY LIMITED (24 628 673 754),ELANCO AUSTRALASIA PTY LTD (64 076 745 198),"64076745198, 24628673754",,,https://modernslaveryregister.gov.au/statements/18213/,Healthcare and pharmaceuticals,"2025-529, 2023-1021, 2022-955, 2021-2189"
2024-978,2022-07-01,2023-06-30,Single,Australia,700-800M,GRAMPIANS HEALTH (39 089 584 391),,39089584391,,,https://modernslaveryregister.gov.au/statements/18205/,Healthcare and pharmaceuticals,"2024-2542, 2021-3993, 2021-1193"
2024-977,2023-01-01,2023-12-31,Single,Australia,600-700M,City Holdings (Aus) Pty Ltd (33 135 098 636),"City Building Engineering Services (Aus) Pty Ltd (33 136 179 112), City Cleaning Services (Aus) Pty Ltd (77 135 098 823), City Facilities Management (Aus) Pty Ltd (39 135 098 663), City Facilities Management (Qld) Pty Ltd (68 147 320 867), CITY HEALTH SERVICES (AUS) PTY LTD (41 672 472 507), CITY HEALTH SERVICES (QLD) PTY LTD (43 672 486 734), CITY INTEGRATED MAINTENANCE SERVICES PTY. LTD. (97 624 014 017), CITY INTEGRATED MAINTENANCE SERVICES (QLD) PTY. LTD. (38 630 791 945)","33136179112, 77135098823, 39135098663, 68147320867, 41672472507, 43672486734, 33135098636, 97624014017, 38630791945",,,https://modernslaveryregister.gov.au/statements/18203/,"Construction, civil engineering and building products
Cleaning and security services
Other","2023-1312, 2022-1223, 2021-1915"
2024-974,2023-01-01,2023-12-31,Single,Australia,800-900M,PE WHEATSTONE PTY LTD (53 158 341 612),,53158341612,,,https://modernslaveryregister.gov.au/statements/18201/,"Mining, metals, chemicals and resources (including oil and gas)","2023-713, 2022-577, 2021-1496"
2024-973,2023-01-01,2023-12-31,Single,Australia,0-99M,KERRY LOGISTICS (OCEANIA) PTY. LTD. (19 600 672 366),,19600672366,,,https://modernslaveryregister.gov.au/statements/18200/,"Transportation, logistics, and storage","2023-1097, 2022-1321"
2024-1093,2023-01-01,2023-12-31,Single,Australia,600-700M,ARROW ENERGY HOLDINGS PTY LTD,"ARROW CSG (AUSTRALIA) PTY LTD, ARROW CSG HOLDCO PTY LTD, ARROW ENERGY PTY LTD, Arrow Energy Trading Pty. Ltd., Arrow Surat Pty Ltd",,"054260650, 075802452, 141385293, 078521936, 139053133, 108112330",,https://modernslaveryregister.gov.au/statements/18199/,"Mining, metals, chemicals and resources (including oil and gas)",2023-1293
2024-1008,2023-01-01,2023-12-31,Single,Australia,900M-1BN,UNIVERSITY OF WESTERN AUSTRALIA (37 882 817 280),"PERTH FESTIVAL SPECIAL PROJECTS LIMITED (79 655 389 469), PERTH INTERNATIONAL ARTS FESTIVAL LTD (85 631 934 677), The University Club of Western Australia Pty Ltd (46 100 673 603), UWA ACCOMMODATION HOLDINGS PTY LTD (30 662 309 382), UWA ACCOMMODATION SERVICES PTY LTD (74 144 621 974), UWA SPORT PTY LTD (96 605 887 189)","79655389469, 85631934677, 46100673603, 37882817280, 30662309382, 74144621974, 96605887189",,,https://modernslaveryregister.gov.au/statements/18198/,Education and research,"2023-1243, 2022-1050, 2021-2370"
2024-967,2023-01-01,2023-12-31,Single,"Australia, United Kingdom",300-350M,SMITH & NEPHEW PTY LIMITED,,,000087507,,https://modernslaveryregister.gov.au/statements/18189/,Healthcare and pharmaceuticals,"2025-717, 2023-873"
2024-989,2023-01-01,2023-12-31,Single,China,350-400M,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED (57 086 866 506),,57086866506,,,https://modernslaveryregister.gov.au/statements/18188/,"Financial, insurance and real estate activities","2023-780, 2022-776, 2021-2570"
2024-966,2023-01-01,2023-12-31,Single,Australia,100-150M,COLCAP FINANCIAL LIMITED,"AUSTRATA FINANCE PTY LTD, AVA U2 Pty Ltd, ColCap Financial Overseas Holdings Limited, ColCap Financial UK Limited, Colcap Investments Pty Ltd, COLCAP PTY LIMITED, COLCAP SERVICING PTY LTD, COLUMBUS CAPITAL FINANCIAL PTY LTD, Columbus Capital Funds Management Pty Ltd, COLUMBUS CAPITAL PTY. LIMITED, CONSORTIA GROUP HOLDINGS PTY. LIMITED, Elizabeth RR No.1 Limited, Elizabeth RR No.2 Limited, GRANITE HOME LOANS PTY LTD, HOMESTAR FINANCE PTY LTD, Molo Holdings No.1 Limited, Molo Holdings No.2 Limited, Molo Holdings No.3 Limited, Molo Tech Limited, ORIGIN MORTGAGE MANAGEMENT SERVICES PTY LTD, PHAROS AQ 2020 PTY LTD, Pharos  AQ 2021 Pty Ltd, Pharos AQ 2021V Pty Ltd, Pharos AQ 2022 Pty Ltd, Pharos AQ 2023 Pty Ltd, Pharos AQ-L 2021 Pty Ltd, Pharos AQ NTX Pty Ltd, Pharos AQ Pty Ltd, Pharos CB 2020 Pty Ltd, Pharos IAC 2017-2 Pty Ltd, Pharos IAC 2018-1 Pty Ltd, Pharos IAC 2019-3 Pty Ltd, PHAROS IAC 2020 PTY LTD, Pharos IAC 2023V Pty Ltd, Pharos IAC - H 2021 Pty Ltd, Pharos IAC-L 2021 Pty Ltd, Pharos IAC Pty Ltd, Pharos NB 2021 Pty Ltd, Pharos NB 2022 Pty Ltd, Pharos NB Pty Limited, PHAROS RV PTY LTD, Pharos WBC 2023 Pty Ltd, Xpress Loans Direct Pty Ltd, Xpress Loans Pty Ltd",,"646360796, 601348323, 650487353, 601351535, 137485191, 622403123, 137432627, 137432645, 119531252, 119530960, 622955524, 109413498, 601349071, 639116993, 647514734, 649718427, 656219180, 665625927, 664440386, 630006674, 619876809, 640959020, 622680791, 626637330, 637161141, 639116984, 667966985, 659476589, 659476570, 619876792, 647514752, 656219199, 622345706, 646535622, 665626120, 647994090, 648793220",,https://modernslaveryregister.gov.au/statements/18187/,"Financial, insurance and real estate activities",2023-1089
2024-968,2023-01-01,2023-12-31,Single,Australia,300-350M,CATHOLIC SCHOOLS BROKEN BAY (19 542 675 092),"CORPUS CHRISTI CATHOLIC PRIMARY SCHOOL ST IVES (93 731 206 639), HOLY CROSS CATHOLIC PRIMARY SCHOOL KINCUMBER (43 227 223 632), HOLY FAMILY CATHOLIC PRIMARY SCHOOL (89 548 339 579), MACKILLOP CATHOLIC COLLEGE (69 094 564 017), MARIA REGINA CATHOLIC PRIMARY SCHOOL AVALON (83 509 495 501), MATER MARIA CATHOLIC COLLEGE WARRIEWOOD (63 423 792 086), MERCY CATHOLIC COLLEGE CHATSWOOD (31 439 493 889), OUR LADY HELP OF CHRISTIANS CATHOLIC PRIMARY SCHOOL EPPING (21 428 536 511), OUR LADY OF DOLOURS CATHOLIC PRIMARY SCHOOL CHATSWOOD (53 932 362 427), OUR LADY OF GOOD COUNSEL CATHOLIC PRIMARY SCHOOL FORESTVILLE (30 842 913 699), OUR LADY OF PERPETUAL SUCCOUR CATHOLIC PRIMARY SCHOOL WEST PYMBLE (53 987 617 495), OUR LADY OF THE ROSARY CATHOLIC PRIMARY SCHOOL THE ENTRANCE (26 056 443 965), OUR LADY OF THE ROSARY CATHOLIC PRIMARY SCHOOL WAITARA (18 348 120 766), OUR LADY OF THE ROSARY CATHOLIC PRIMARY SCHOOL WYOMING (40 073 033 827), PROUILLE CATHOLIC PRIMARY SCHOOL WAHROONGA (22 412 327 740), SACRED HEART CATHOLIC PRIMARY SCHOOL MONA VALE (49 988 711 561), SACRED HEART CATHOLIC SCHOOL (51 490 837 374), ST AGATHAS CATHOLIC PRIMARY SCHOOL PENNANT HILLS (94 348 201 843), STAR OF THE SEA CATHOLIC PRIMARY SCHOOL TERRIGAL (21 557 574 781), ST BERNARD'S CATHOLIC PRIMARY SCHOOL BEROWRA (14 481 048 838), ST BRENDANS CATHOLIC PRIMARY SCHOOL LAKE MUNMORAH (11 504 332 761), St Brigid's Catholic College (32 136 813 910), ST CECILIA'S CATHOLIC PRIMARY SCHOOL BALGOWLAH (23 521 712 887), ST CECILIA'S CATHOLIC PRIMARY SCHOOL WYONG (64 190 020 653), ST GERARDS CATHOLIC PRIMARY SCHOOL CARLINGFORD (22 011 765 184), ST JOHN FISHER CATHOLIC PRIMARY SCHOOL TUMBI UMBI (68 466 829 768), ST JOHNS CATHOLIC PRIMARY SCHOOL NARRAWEENA (23 629 383 434), ST JOHN THE BAPTIST CATHOLIC PRIMARY SCHOOL HARBORD (66 770 014 768), ST JOHN THE BAPTIST CATHOLIC PRIMARY SCHOOL WOY WOY (49 586 632 836), ST JOSEPH'S CATHOLIC COLLEGE EAST GOSFORD (93 041 953 582), ST JOSEPHS CATHOLIC PRIMARY SCHOOL NARRABEEN (71 921 607 268), ST KEVINS CATHOLIC PRIMARY SCHOOL DEE WHY (56 665 728 002), ST KIERANS CATHOLIC PRIMARY SCHOOL MANLY VALE (60 129 423 973), ST LEO'S CATHOLIC COLLEGE WAHROONGA (30 147 067 836), ST MARTINS CATHOLIC PRIMARY SCHOOL DAVIDSON (67 181 592 433), ST MARYS CATHOLIC PRIMARY SCHOOL MANLY (14 161 213 405), ST MARYS CATHOLIC PRIMARY SCHOOL TOUKLEY (61 558 206 679), ST PATRICK'S CATHOLIC PRIMARY SCHOOL ASQUITH (66 789 035 993), ST PATRICK'S CATHOLIC PRIMARY SCHOOL EAST GOSFORD (70 308 733 443), ST PAUL'S CATHOLIC COLLEGE MANLY (31 990 612 609), ST PETERS CATHOLIC COLLEGE TUGGERAH LAKES (39 784 133 202), ST PHILIP NERI CATHOLIC PRIMARY SCHOOL NORTHBRIDGE (29 988 792 638), ST ROSE CATHOLIC PRIMARY SCHOOL COLLAROY (22 626 746 064), ST THOMAS CATHOLIC PRIMARY SCHOOL WILLOUGHBY (32 613 802 773)","19542675092, 93731206639, 43227223632, 89548339579, 69094564017, 83509495501, 63423792086, 31439493889, 21428536511, 53932362427, 30842913699, 53987617495, 26056443965, 18348120766, 40073033827, 22412327740, 49988711561, 51490837374, 94348201843, 21557574781, 14481048838, 11504332761, 32136813910, 23521712887, 64190020653, 22011765184, 68466829768, 23629383434, 66770014768, 49586632836, 93041953582, 71921607268, 56665728002, 60129423973, 30147067836, 67181592433, 14161213405, 61558206679, 66789035993, 70308733443, 31990612609, 39784133202, 29988792638, 22626746064, 32613802773",,,https://modernslaveryregister.gov.au/statements/18186/,Education and research,"2023-766, 2023-767"
2024-964,2023-01-01,2023-12-31,Single,United States of America,300-350M,NORTHROP GRUMMAN AUSTRALIA PTY LIMITED (78 156 458 981),,78156458981,,,https://modernslaveryregister.gov.au/statements/18184/,Defence and aerospace,"2022-977, 2023-1036, 2021-2214"
2024-976,2023-01-01,2023-12-31,Single,Australia,0-99M,SPIC PACIFIC ENERGY PTY LTD (92 609 771 057),,92609771057,,,https://modernslaveryregister.gov.au/statements/18180/,"Utilities: gas, water and electricity","2023-659, 2022-1133, 2021-2300"
2024-965,2023-01-01,2023-12-31,Single,Australia,200-250M,SHELLEY TOPCO PTY LTD (94 634 291 375),"AUSTRALIAN BILLBOARD COMPANY PTY. LTD., BMG AUSTRALASIA PTY LTD, DIGITAL OUTDOOR MEDIA (AUST) PTY. LTD., DIGITAL OUTDOOR MEDIA (NSW) PTY. LTD., DIGITAL OUTDOOR MEDIA (QLD) PTY. LTD., DIGITAL OUTDOOR MEDIA (VIC) PTY. LTD., DIGITAL OUTDOOR MEDIA (WA) PTY. LTD., ELWOOD OUTDOOR ADVERTISING PTY. LTD., Octopus property pty ltd, Paramount Outdoor Pty Ltd, PLEXITY HOLDINGS PTY LTD, Q MEDIA PTY LTD, QMS Australian Holdings, QMS AUSTRALIA PTY LTD, QMS MEDIA PTY LIMITED, QMS RAIL MEDIA PTY LTD, Riverview Signage, SHELLEY BIDCO PTY LTD, SHELLEY MIDCO 1 PTY LTD, SHELLEY MIDCO 2 PTY LTD, SKYLINE DIGITAL PTY LTD, Standout Media Pty Ltd, THE DIGITAL OUTDOOR GROUP PTY LTD",94634291375,"055925221, 167622415, 600426882, 601626788, 601626797, 601626779, 601626804, 601713268, 132552035, 131227006, 604040959, 164971608, 604662642, 125363484, 603037341, 164972285, 600425812, 634292881, 634291866, 634292229, 605058580, 154738039, 164973237",,https://modernslaveryregister.gov.au/statements/18179/,"Media, publishing, arts and entertainment",
2024-963,2023-01-01,2023-12-31,Single,Australia,500-600M,JAMES COOK UNIVERSITY (46 253 211 955),"DISCOVER SPORT LIMITED, James Cook Academy Ptd Ltd, James Cook Holdings Pte Ltd, James Cook Institute Pte Ltd, James Cook University Pte Ltd, JCU COLLEGE PTY LTD, JCU CPB Pty Ltd as Trustee for the CPB Trust, JCU EARLY LEARNING CENTRES PTY LTD, JCU ENTERPRISES PTY LTD, JCU HEALTH PTY LTD, JCU Innovation Holdings Limited, JCU UNIVET PTY LTD, North Queensland Commercialisation Company Pty Ltd, Tropical Futures Institute Ltd, Tropical Queensland Centre for Oral Health Pty Ltd",46253211955,"626386641, 607713691, 153630445, 061144769, 011005888, 099496232, 138879419, 130517207, 153926080",,https://modernslaveryregister.gov.au/statements/18178/,Education and research,"2023-953, 2022-562, 2021-1739"
2024-960,2023-01-01,2023-12-31,Single,United Kingdom,500-600M,Aspen Insurance UK Limited (33 128 637 650),,33128637650,,,https://modernslaveryregister.gov.au/statements/18173/,"Financial, insurance and real estate activities","2023-1189, 2022-1063, 2021-2251"
2024-958,2023-02-01,2024-01-31,Single,Australia,100-150M,GENESYS CLOUD SERVICES PTY. LTD. (80 077 375 887),Genesys Cloud Services New Zealand Limited,80077375887,,,https://modernslaveryregister.gov.au/statements/18171/,Information technology and telecommunication,"2023-742, 2022-1416, 2021-2526"
2024-1075,2023-01-01,2023-12-31,Single,United Kingdom,1BN+,Rothesay Limited,"LT Mortgage Financing Limited, ROTHESAY ASSET MANAGEMENT AUSTRALIA PTY LTD, Rothesay Asset Management North America LLC, Rothesay Asset Management (UK) Limited, Rothesay Foundation, Rothesay Life PLC, Rothesay MA No. 1 Limited, Rothesay MA No. 3 Limited, Rothesay MA No. 4 Limited, Rothesay Mortgages Limited, Rothesay Pensions Management Limited, Rothesay Property Partnership 1 LLP",,650603768,,https://modernslaveryregister.gov.au/statements/18167/,"Financial, insurance and real estate activities",
2024-954,2023-01-01,2023-12-31,Joint,"Brazil, Ghana, Japan, Singapore, United States of America",350-400M,"MODEC, Inc., MODEC MANAGEMENT SERVICES PTE.LTD. (18 109 283 810)","MODEC Do Brazil, MODEC Offshore Production Solutions Pte Ltd",18109283810,,,https://modernslaveryregister.gov.au/statements/18166/,"Mining, metals, chemicals and resources (including oil and gas)","2023-803, 2022-750, 2021-250"
2024-946,2023-01-01,2023-12-31,Single,Australia,100-150M,KNOX GRAMMAR SCHOOL (54 645 113 104),,54645113104,,,https://modernslaveryregister.gov.au/statements/18152/,"Education and research
Charitable / not-for-profit activities",2023-1165
2024-948,2023-01-01,2023-12-31,Single,Australia,1BN+,LB AUSTRALIA HOLDINGS PTY LTD (96 165 597 482),ENTAIN GROUP PTY LTD (25 151 956 768),"25151956768, 96165597482",,,https://modernslaveryregister.gov.au/statements/18149/,"Media, publishing, arts and entertainment","2023-1343, 2021-1827"
2024-939,2023-01-01,2023-12-31,Single,Australia,150-200M,KRISPY KREME HOLDINGS PTY LIMITED (71 134 222 727),KRISPY KREME AUSTRALIA PTY LIMITED (59 099 478 663),"59099478663, 71134222727",,,https://modernslaveryregister.gov.au/statements/18146/,"Food and beverages, agriculture and fishing","2023-976, 2022-456, 2021-1536"
2024-938,2023-01-01,2023-12-31,Joint,Australia,1BN+,"DAMPIER COAL (QUEENSLAND) PROPRIETARY LIMITED, STANMORE BOWEN COAL PTY LTD, STANMORE IP COAL PTY LTD, STANMORE IP SOUTH PTY LTD, STANMORE RESOURCES LIMITED, STANMORE SMC HOLDINGS PTY LTD, STANMORE SMC PTY LTD, STANMORE WOTONGA PTY LTD",,,"008428180, 606241847, 606244615, 625536094, 131920968, 653931223, 009713875, 606243770",,https://modernslaveryregister.gov.au/statements/18145/,"Mining, metals, chemicals and resources (including oil and gas)",
2024-940,2023-01-01,2023-12-31,Joint,United States of America,200-250M,"COMMSCOPE GROUP AUSTRALIA PTY LTD (24 160 967 582), COMMSCOPE HOLDINGS AUSTRALIA PTY LTD (57 605 413 456)",COMMSCOPE TECHNOLOGIES AUSTRALIA PTY LTD (39 090 961 774),"24160967582, 57605413456, 39090961774",,,https://modernslaveryregister.gov.au/statements/18144/,Information technology and telecommunication,"2023-1112, 2022-1378, 2021-2293"
2024-1022,2023-01-01,2023-12-31,Single,Australia,250-300M,BOSTON SCIENTIFIC PTY LTD,,,071676063,,https://modernslaveryregister.gov.au/statements/18262/,Healthcare and pharmaceuticals,
2024-1038,2023-01-01,2023-12-31,Joint,"Australia, New Zealand",1BN+,"Oji Fibre Solutions (NZ) Ltd, OJI OCEANIA MANAGEMENT (AUS) PTY LTD (52 169 111 362), Oji Oceania Management (NZ) Ltd","OJI CARDBOARD CARTON SOLUTIONS PTY LIMITED (29 620 846 719), OJI FIBRE SOLUTIONS (AUS) PTY LTD (36 050 218 221), OJI FIBRE SOLUTIONS (QLD) PTY LTD (63 615 258 234), OJI FOODSERVICE PACKAGING SOLUTIONS (AUS) PTY LTD (41 078 906 500)","29620846719, 36050218221, 63615258234, 41078906500, 52169111362",,,https://modernslaveryregister.gov.au/statements/18259/,"Forestry, timber products, paper and containers and packaging","2025-778, 2023-1028, 2022-1141, 2021-2090"
2024-1197,2023-01-01,2023-12-31,Single,United States of America,100-150M,FIS AUSTRALASIA PTY LTD (45 093 114 759),,45093114759,,,https://modernslaveryregister.gov.au/statements/18258/,"Financial, insurance and real estate activities",
2024-1016,2023-01-01,2023-12-31,Single,United States of America,300-350M,"Avetta, LLC",,,,,https://modernslaveryregister.gov.au/statements/18254/,"Information technology and telecommunication
Other",2023-252
2024-1017,2023-01-01,2023-12-31,Joint,Australia,100-150M,"MEDECINS SANS FRONTIERES AUSTRALIA LIMITED (74 068 758 654), Médecins sans Frontières New Zealand Charitable Trust",,74068758654,,,https://modernslaveryregister.gov.au/statements/18253/,Charitable / not-for-profit activities,"2023-1370, 2022-1042, 2021-2031"
2024-1434,2023-01-01,2023-12-31,Single,Australia,150-200M,WARNER BROS. ENTERTAINMENT AUSTRALIA PTY LIMITED (70 003 773 411),"UNDERDOWN PRODUCTIONS PTY LIMITED (56 149 231 550), WARNER BROS. FEATURE PRODUCTIONS PTY LIMITED (33 059 495 251)","56149231550, 70003773411, 33059495251",,,https://modernslaveryregister.gov.au/statements/18252/,"Media, publishing, arts and entertainment","2023-960, 2022-686, 2021-1885"
2024-1071,2023-01-01,2023-12-31,Single,Australia,400-450M,SAAB TECHNOLOGIES AUSTRALIA PTY LTD,"SAAB AUSTRALIA PTY LTD, S PAC INVESTMENT HOLDINGS PTY LTD",,"008643212, 002950790, 072686812",,https://modernslaveryregister.gov.au/statements/18251/,"Information technology and telecommunication
Defence and aerospace",
